id,bbox,sick
Train_1069.jpg,"[64, 0, 64, 43]",1
Train_269.jpg,"[128, 0, 64, 43]",1
Train_1581.jpg,"[192, 0, 64, 43]",1
Train_1400.jpg,"[256, 0, 64, 43]",1
Train_1236.jpg,"[320, 0, 64, 43]",1
Train_1162.jpg,"[384, 0, 64, 43]",1
Train_1528.jpg,"[512, 0, 64, 43]",0
Train_1626.jpg,"[576, 0, 64, 43]",1
Train_1664.jpg,"[640, 0, 64, 43]",1
Train_1584.jpg,"[704, 0, 64, 43]",1
Train_338.jpg,"[768, 0, 64, 43]",1
Train_499.jpg,"[832, 0, 64, 43]",1
Train_867.jpg,"[896, 0, 64, 43]",1
Train_949.jpg,"[960, 0, 64, 43]",1
Train_761.jpg,"[1024, 0, 64, 43]",0
Train_1662.jpg,"[1152, 0, 64, 43]",1
Train_154.jpg,"[1216, 0, 64, 43]",1
Train_702.jpg,"[1280, 0, 64, 43]",1
Train_1394.jpg,"[1344, 0, 64, 43]",1
Train_288.jpg,"[1536, 0, 64, 43]",1
Train_1039.jpg,"[1728, 0, 64, 43]",0
Train_1754.jpg,"[64, 43, 64, 43]",1
Train_1082.jpg,"[128, 43, 64, 43]",0
Train_85.jpg,"[192, 43, 64, 43]",1
Train_493.jpg,"[320, 43, 64, 43]",1
Train_1463.jpg,"[384, 43, 64, 43]",0
Train_122.jpg,"[448, 43, 64, 43]",1
Train_414.jpg,"[576, 43, 64, 43]",1
Train_1059.jpg,"[640, 43, 64, 43]",1
Train_610.jpg,"[704, 43, 64, 43]",1
Train_1609.jpg,"[768, 43, 64, 43]",1
Train_868.jpg,"[832, 43, 64, 43]",1
Train_25.jpg,"[896, 43, 64, 43]",1
Train_685.jpg,"[960, 43, 64, 43]",0
Train_149.jpg,"[1088, 43, 64, 43]",1
Train_929.jpg,"[1216, 43, 64, 43]",0
Train_1401.jpg,"[1280, 43, 64, 43]",1
Train_1237.jpg,"[1344, 43, 64, 43]",0
Train_70.jpg,"[1408, 43, 64, 43]",0
Train_128.jpg,"[1536, 43, 64, 43]",1
Train_1018.jpg,"[1664, 43, 64, 43]",1
Train_555.jpg,"[1728, 43, 64, 43]",1
Train_136.jpg,"[1792, 43, 64, 43]",0
Train_1654.jpg,"[0, 86, 64, 43]",0
Train_86.jpg,"[64, 86, 64, 43]",0
Train_1139.jpg,"[128, 86, 64, 43]",0
Train_1390.jpg,"[320, 86, 64, 43]",1
Train_1293.jpg,"[384, 86, 64, 43]",1
Train_245.jpg,"[448, 86, 28, 43]",1
Train_34.jpg,"[512, 86, 64, 43]",1
Train_1415.jpg,"[640, 86, 64, 43]",0
Train_471.jpg,"[768, 86, 64, 43]",1
Train_526.jpg,"[832, 86, 64, 43]",0
Train_1707.jpg,"[896, 86, 64, 43]",1
Train_1277.jpg,"[1024, 86, 64, 43]",0
Train_1422.jpg,"[1088, 86, 64, 43]",1
Train_822.jpg,"[1216, 86, 64, 43]",1
Train_602.jpg,"[1280, 86, 64, 43]",1
Train_936.jpg,"[1344, 86, 64, 43]",1
Train_627.jpg,"[1408, 86, 64, 43]",1
Train_1093.jpg,"[1472, 86, 64, 43]",1
Train_543.jpg,"[1536, 86, 64, 43]",1
Train_1310.jpg,"[1664, 86, 64, 43]",1
Train_1635.jpg,"[1728, 86, 64, 43]",0
Train_1765.jpg,"[0, 129, 64, 43]",1
Train_892.jpg,"[64, 129, 64, 43]",1
Train_905.jpg,"[128, 129, 64, 43]",1
Train_1248.jpg,"[192, 129, 64, 43]",0
Train_100.jpg,"[256, 129, 64, 43]",0
Train_736.jpg,"[320, 129, 64, 43]",1
Train_903.jpg,"[384, 129, 64, 43]",0
Train_1418.jpg,"[448, 129, 64, 43]",1
Train_1170.jpg,"[512, 129, 64, 43]",1
Train_588.jpg,"[576, 129, 64, 43]",1
Train_1612.jpg,"[704, 129, 64, 43]",0
Train_87.jpg,"[768, 129, 64, 43]",1
Train_1514.jpg,"[832, 129, 64, 43]",1
Train_1009.jpg,"[896, 129, 64, 43]",1
Train_317.jpg,"[1088, 129, 64, 43]",0
Train_6.jpg,"[1152, 129, 64, 43]",1
Train_884.jpg,"[1280, 129, 64, 43]",1
Train_4.jpg,"[1344, 129, 64, 43]",0
Train_134.jpg,"[1408, 129, 64, 43]",0
Train_1554.jpg,"[1472, 129, 64, 43]",1
Train_524.jpg,"[1536, 129, 64, 43]",1
Train_1533.jpg,"[1600, 129, 64, 43]",0
Train_286.jpg,"[1664, 129, 64, 43]",1
Train_123.jpg,"[1728, 129, 64, 43]",0
Train_1161.jpg,"[1792, 129, 64, 43]",1
Train_420.jpg,"[0, 172, 64, 43]",0
Train_1603.jpg,"[64, 172, 64, 43]",1
Train_1723.jpg,"[192, 172, 64, 43]",0
Train_43.jpg,"[256, 172, 64, 43]",0
Train_180.jpg,"[320, 172, 64, 43]",1
Train_48.jpg,"[448, 172, 64, 43]",1
Train_510.jpg,"[576, 172, 64, 43]",1
Train_863.jpg,"[640, 172, 64, 43]",0
Train_1539.jpg,"[768, 172, 64, 43]",0
Train_1156.jpg,"[832, 172, 28, 43]",1
Train_605.jpg,"[896, 172, 64, 43]",0
Train_472.jpg,"[960, 172, 64, 43]",1
Train_1531.jpg,"[1088, 172, 64, 43]",1
Train_113.jpg,"[1152, 172, 64, 43]",1
Train_1147.jpg,"[1216, 172, 64, 43]",1
Train_1379.jpg,"[1280, 172, 64, 43]",1
Train_480.jpg,"[1344, 172, 64, 43]",1
Train_97.jpg,"[1408, 172, 64, 43]",1
Train_1647.jpg,"[1536, 172, 64, 43]",1
Train_687.jpg,"[1600, 172, 64, 43]",1
Train_1593.jpg,"[1664, 172, 64, 43]",0
Train_506.jpg,"[1728, 172, 64, 43]",1
Train_750.jpg,"[1792, 172, 64, 43]",1
Train_511.jpg,"[0, 215, 64, 43]",1
Train_1641.jpg,"[128, 215, 64, 43]",1
Train_256.jpg,"[192, 215, 64, 43]",1
Train_1540.jpg,"[384, 215, 64, 43]",1
Train_1577.jpg,"[448, 215, 64, 43]",1
Train_196.jpg,"[512, 215, 64, 43]",1
Train_871.jpg,"[576, 215, 64, 43]",1
Train_1044.jpg,"[640, 215, 64, 43]",0
Train_1790.jpg,"[704, 215, 64, 43]",1
Train_791.jpg,"[768, 215, 64, 43]",0
Train_80.jpg,"[832, 215, 64, 43]",1
Train_673.jpg,"[896, 215, 64, 43]",1
Train_1270.jpg,"[960, 215, 64, 43]",1
Train_436.jpg,"[1024, 215, 64, 43]",1
Train_776.jpg,"[1088, 215, 64, 43]",0
Train_117.jpg,"[1344, 215, 64, 43]",1
Train_1479.jpg,"[1408, 215, 64, 43]",0
Train_1676.jpg,"[1472, 215, 64, 43]",0
Train_45.jpg,"[1536, 215, 64, 43]",1
Train_1465.jpg,"[1600, 215, 64, 43]",1
Train_1656.jpg,"[1664, 215, 64, 43]",0
Train_1779.jpg,"[1792, 215, 64, 43]",1
Train_1454.jpg,"[0, 258, 64, 43]",1
Train_1618.jpg,"[64, 258, 64, 43]",1
Train_237.jpg,"[128, 258, 64, 43]",1
Train_1529.jpg,"[192, 258, 64, 43]",1
Train_139.jpg,"[256, 258, 64, 43]",1
Train_833.jpg,"[384, 258, 64, 43]",0
Train_1219.jpg,"[448, 258, 64, 43]",1
Train_300.jpg,"[512, 258, 64, 43]",0
Train_170.jpg,"[576, 258, 64, 43]",1
Train_596.jpg,"[640, 258, 64, 43]",1
Train_977.jpg,"[704, 258, 64, 43]",0
Train_301.jpg,"[768, 258, 64, 43]",1
Train_187.jpg,"[896, 258, 64, 43]",1
Train_399.jpg,"[960, 258, 64, 43]",1
Train_315.jpg,"[1024, 258, 64, 43]",1
Train_601.jpg,"[1152, 258, 64, 43]",0
